,location,region,lat,lon,prediction,anger,disgust,fear,joy,neutral,sadness,surprise
881,camden-nj007-us,america/new_york,39.92595,-75.11962,0.0,0.14079809437812826,0.003338838807794086,0.4592368603722147,0.13470408325559274,0.11442574267120949,0.04970915182460693,0.09778722283299882
882,camden-nj007-us,america/new_york,39.92595,-75.11962,1.0,0.11521914540666753,0.0018968065918220653,0.40036037351461307,0.11093239641835105,0.23667913733598062,0.03478072730139551,0.10013141418403175
883,campeche-04-mx,america/merida,19.85,-90.53333,0.0,0.08003649284580235,0.013581495540199273,0.6187828999346144,0.06650373892338345,0.1413456608288358,0.03587159108626364,0.04387812791564669
884,campeche-04-mx,america/merida,19.85,-90.53333,1.0,0.09678922717769937,0.0011190977917673332,0.7370753884315491,0.04094746957222616,0.0373149073372284,0.06333416079481441,0.023419757063190102
885,campina grande-17-br,america/fortaleza,-7.23056,-35.88111,0.0,0.1305318996197953,0.005788283713314613,0.6145356186185671,0.08476976978490304,0.07616899868188304,0.04510736681624718,0.04309806983592712
886,campina grande-17-br,america/fortaleza,-7.23056,-35.88111,1.0,0.06482103548179831,0.0026891551914069193,0.6228083329609571,0.1187099299441354,0.13000846367317415,0.03322204201667303,0.027741027228796865
887,campinas-27-br,america/sao_paulo,-22.90556,-47.06083,0.0,0.1326673762170529,0.0076207857893559345,0.5417758515481769,0.10380058258230826,0.12460521396587214,0.04202606776437582,0.047504126718712895
888,campinas-27-br,america/sao_paulo,-22.90556,-47.06083,1.0,0.13304821198397038,0.006969663004169559,0.6411376205219168,0.07197336929794872,0.07112406791788492,0.039968262506620986,0.03577880367078239
889,campo grande-11-br,america/campo_grande,-20.44278,-54.64639,0.0,0.11492578174667652,0.0037990745197709207,0.6016155576606323,0.09624646126394842,0.09630534705568551,0.030496652736738065,0.05661112151631886
890,campo grande-11-br,america/campo_grande,-20.44278,-54.64639,1.0,0.09648114181266265,0.0018978910209855187,0.6012486768961247,0.07470060126672703,0.13208292019688056,0.04107019039802362,0.05251856656157844
891,campo mourao-18-br,america/sao_paulo,-24.04556,-52.38306,0.0,0.1676042590366334,0.007791456261762134,0.5162135023830665,0.10278956948097394,0.08171963875433806,0.04379752265107804,0.08008403685326682
892,campo mourao-18-br,america/sao_paulo,-24.04556,-52.38306,1.0,0.2133456394076347,0.00432371173519635,0.3307526186108589,0.3104495927691459,0.0979972959030419,0.0235904608853161,0.01954067824408405
893,campos-21-br,america/sao_paulo,-21.75,-41.3,0.0,0.13601353637310623,0.006723144842011095,0.592946070539105,0.11736977601312619,0.05166185323872459,0.03338731553003862,0.061898300526631665
894,campos-21-br,america/sao_paulo,-21.75,-41.3,1.0,0.3445910975337028,0.0027445608749985203,0.36269765086472033,0.04094826411455868,0.13824630677700037,0.032939493656158406,0.07783264135941859
