,location,region,lat,lon,prediction,count,percentage
569,belorechensk-38-ru,europe/moscow,44.76733,39.87424,0.0,1,100.0
570,bend-or017-us,america/los_angeles,44.05817,-121.31531,0.0,23,92.0
571,bend-or017-us,america/los_angeles,44.05817,-121.31531,1.0,2,8.0
572,benghazi-69-ly,africa/tripoli,32.11667,20.06667,0.0,28,68.29
573,benghazi-69-ly,africa/tripoli,32.11667,20.06667,1.0,13,31.71
574,bengkulu-03-id,asia/jakarta,-3.80044,102.26554,0.0,82,53.95
575,bengkulu-03-id,asia/jakarta,-3.80044,102.26554,1.0,70,46.05
576,beni mellal-56091-ma,africa/casablanca,32.33725,-6.34984,0.0,1154,47.8
577,beni mellal-56091-ma,africa/casablanca,32.33725,-6.34984,1.0,1260,52.2
578,beni mered-20-dz,africa/algiers,36.52389,2.86131,0.0,67,59.29
579,beni mered-20-dz,africa/algiers,36.52389,2.86131,1.0,46,40.71
580,benin city-37-ng,africa/lagos,6.33504,5.62749,0.0,93,59.24
581,benin city-37-ng,africa/lagos,6.33504,5.62749,1.0,64,40.76
582,benoni-06eku-za,africa/johannesburg,-26.18848,28.32078,0.0,495,66.27
583,benoni-06eku-za,africa/johannesburg,-26.18848,28.32078,1.0,252,33.73
584,bensheim-05-de,europe/berlin,49.68369,8.61839,0.0,27,75.0
585,bensheim-05-de,europe/berlin,49.68369,8.61839,1.0,9,25.0
586,bergamo-09bg-it,europe/rome,45.69798,9.66895,0.0,332,66.0
587,bergamo-09bg-it,europe/rome,45.69798,9.66895,1.0,171,34.0
588,bergen-07-no,europe/oslo,60.39299,5.32415,0.0,86,76.79
589,bergen-07-no,europe/oslo,60.39299,5.32415,1.0,26,23.21
590,berkane-54113-ma,africa/casablanca,34.92,-2.32,0.0,4,100.0
591,berlin-1600-de,europe/berlin,52.52437,13.41053,0.0,3724,72.61
592,berlin-1600-de,europe/berlin,52.52437,13.41053,1.0,1405,27.39
593,bern-be246-ch,europe/zurich,46.94809,7.44744,0.0,2101,33.26
594,bern-be246-ch,europe/zurich,46.94809,7.44744,1.0,4215,66.74
595,besancon-a625-fr,europe/paris,47.24878,6.01815,0.0,110,69.62
596,besancon-a625-fr,europe/paris,47.24878,6.01815,1.0,48,30.38
